metric,explain,linguistic_label,k400_label,domain_label
f0513818,Unspecified_<_35=2018,Unspecified Demographics and Age Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0513918,Unspecified_35_44=2018,Unspecified Demographics and Age Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0514018,Unspecified_45_54=2018,Unspecified Demographics and Age Distribution,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0514118,Unspecified_55_64=2018,Unspecified Demographics and Age Distribution,Unspecified physicians mid-career and hospital staff,
f0514418,Medical_Doctors_Inactive_<_35=2018,General Practice Medical Doctor Workforce,Inactive physicians and radiation oncology research,
f0514518,Medical_Doctors_Inactive_35_44=2018,General Practice Medical Doctor Workforce,Medical Doctors Inactive 35 44,
f0514618,Medical_Doctors_Inactive_45_54=2018,General Practice Medical Doctor Workforce,Medical Doctors Inactive 45 54,
f0514718,Medical_Doctors_Inactive_55_64=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0515018,Medical_Doctors_Not_Classified_<_35=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0515118,Medical_Doctors_Not_Classified_35_44=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0515218,Medical_Doctors_Not_Classified_45_54=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0515318,Medical_Doctors_Not_Classified_55_64=2018,General Practice Medical Doctor Workforce,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0524110,Population_in_Occupied_Housing_Units=2010,Housing Unit Occupancy and Characteristics,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0524210,Population_in_Group_Quarters=2010,Population Density and Geographic Area Characteristics,"General adult population by age, sex, health insurance, and household composition",
f0670410,Population_Male_<_5=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts","Household crowding, large families, and young children"
f0670510,Population_Female_<_5=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts","Household crowding, large families, and young children"
f0670610,Population_Male_5_9=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts",
f0670710,Population_Female_5_9=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts","Household crowding, large families, and young children"
f0670810,Population_Male_10_14=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts",
f0670910,Population_Female_10_14=2010,Population Age and Gender Distribution,"Children's health insurance, household size, and birth counts",
f0671010,Population_Male_15_19=2010,Population Age and Gender Distribution,"Education/healthcare employment, young adult population, and government workers (mixed)",
f0671110,Population_Female_15_19=2010,Population Age and Gender Distribution,"Education/healthcare employment, young adult population, and government workers (mixed)",
f0671210,Population_Male_20_24=2010,Population Age and Gender Distribution,"Education/healthcare employment, young adult population, and government workers (mixed)",
f0671310,Population_Female_20_24=2010,Population Age and Gender Distribution,"Education/healthcare employment, young adult population, and government workers (mixed)",
f0671410,Population_Male_25_29=2010,Population Age and Gender Distribution,"General adult population by age, sex, health insurance, and household composition",
f0671510,Population_Female_25_29=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0671610,Population_Male_30_34=2010,Population Age and Gender Distribution,"General adult population by age, sex, health insurance, and household composition",
f0671710,Population_Female_30_34=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0671810,Population_Male_35_44=2010,Population Age and Gender Distribution,"General adult population by age, sex, health insurance, and household composition",
f0671910,Population_Female_35_44=2010,Population Age and Gender Distribution,"General adult population by age, sex, health insurance, and household composition",
f0672010,Population_Male_45_54=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672110,Population_Female_45_54=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672210,Population_Male_55_59=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672310,Population_Female_55_59=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672410,Population_Male_60_64=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672510,Population_Female_60_64=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672610,Population_Male_65_74=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0672710,Population_Female_65_74=2010,Population Age and Gender Distribution,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0679219,Civilian_Labor_Force_16+=2019,Civilian Labor Force Employment by Demographics,"Socioeconomic status: poverty, income, labor force, education, and health insurance",Civilian labour force size and employment
f0679319,Number_Employed_16+=2019,Employment and Worker Commute Patterns,"Socioeconomic status: poverty, income, labor force, education, and health insurance",Civilian labour force size and employment
f0679419,Number_Unemployed_16+=2019,Employment and Worker Commute Patterns,"Unemployment, public assistance, and unmarried partner households",
f0679519,Unemployment_Rate_16+=2019,Employment and Worker Commute Patterns,"Unemployment, public assistance, and unmarried partner households",County-level unemployment rate
f0851600,Percent_Urban_Population=2000,,,
f0851710,Population_White_Female_<_5=2010,White Population Demographics by Age Gender,"Black/African American population demographics, socioeconomics, and labor force",
f0852010,Population_White_Female_60_64=2010,White Population Demographics by Age Gender,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0852210,Population_White_Male_<_5=2010,White Population Demographics by Age Gender,"Black/African American population demographics, socioeconomics, and labor force",
f0852510,Population_White_Male_60_64=2010,White Population Demographics by Age Gender,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0852710,Population_Black_African_American_Female_<_5=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0853010,Population_Black_African_American_Female_60_64=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0853210,Population_Black_African_American_Male_<_5=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0853510,Population_Black_African_American_Male_60_64=2010,Black African American Population Demographics,"Black/African American population demographics, socioeconomics, and labor force",
f0873710,Number_Families=2010,Household Structure and Family Composition,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0873810,#_Households_with_1_Persons=2010,Household Structure and Family Composition,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0873910,#_Households_with_2_Persons=2010,Household Structure and Family Composition,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0874010,#_Households_with_3_Persons=2010,Household Structure and Family Composition,"General adult population by age, sex, health insurance, and household composition",
f0874110,#_Households_with_4_Persons=2010,Household Structure and Family Composition,"General adult population by age, sex, health insurance, and household composition",
f0874210,#_Households_with_5_Persons=2010,Household Structure and Family Composition,"Children's health insurance, household size, and birth counts",
f0874310,#_Households_with_6_or_more_Person=2010,Household Structure and Family Composition,"Children's health insurance, household size, and birth counts","Household crowding, large families, and young children"
f0874410,Number_Families_with_Female_Head=2010,Household Structure and Family Composition,"Black/African American population demographics, socioeconomics, and labor force",Black/African American households and socioeconomic disadvantage
f0874510,Number_Households=2010,Household Structure and Family Composition,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0874610,%_Families_with_Female_Head=2010,Household Structure and Family Composition,"Black/African American population demographics, socioeconomics, and labor force",Black/African American households and socioeconomic disadvantage
f0884310,#_Occupied_Housing_Units=2010,,,
f0885718,Total_Active_M.D.s_Non_Federal=2018,Healthcare Provider Workforce and Facility Resources,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0886018,Medical_Doctors_Total_General_Practice_Patient_Care_Office_Based=2018,General Practice Medical Doctor Workforce,General practice physicians by age group (35-64),
f0886118,Medical_Medicine_Specialty_Total_Patient_Care_Office_Based=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0886218,Surgical_Specialty_Total_Patient_Care_Office_Based=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0886318,Other_Specialty_Total_Patient_Care_Office_Based=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",Physician and specialist workforce counts
f0886818,Total_Number_Hospitals=2018,Hospital and Nursing Facility Capacity,Hospital services and community programs (counts and distribution),
f0886918,#_Short_Term_General_Hospital=2018,Hospital Services and Facility Types,Hospital services and community programs (counts and distribution),
f0887018,#_Short_Term_Non_General_Hospital=2018,Hospital Services and Facility Types,State acute long-term care and non-general hospital capacity,
f0887118,#_Long_Term_Hospitals=2018,Hospital Services and Facility Types,Long-term general and surgical hospital capacity,
f0887218,#_Short_Term_Community_Hospital=2018,Hospital Services and Facility Types,Hospital services and community programs (counts and distribution),
f0887618,#_Veterans'_Hospitals=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0887718,#_Hospital_with_Joint_Commission_on_Accreditation_of_Health_Care_Organizations_Accreditation=2018,Hospital Services and Facility Types,# Hospital with Joint Commission on Accreditation of Health Care Organ,
f0887818,#_Hospital_with_Joint_Commission_on_Accreditation_of_Health_Care_Organizations_Accreditation=2018,,,
f0887918,#_Hospital_with_Residency_Training=2018,Hospital Services and Facility Types,Hospital medical school affiliation and residency training,
f0888018,#_Hospital_with_Residency_Training=2018,,,
f0888118,#_Hospital_with_Medical_School_Affiliation=2018,Hospital Services and Facility Types,Hospital medical school affiliation and residency training,
f0888218,#_Hospital_with_Medical_School_Affiliation=2018,,,
f0888318,#_Hospital_with_Medical_School_Affiliation=2018,,,
f0889018,#_Member_Council_Teaching_Hospital=2018,Hospital Services and Facility Types,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0889118,#_Member_Council_Teaching_Hospital=2018,,,
f0889218,#_Member_Council_Teaching_Hospital=2018,,,
f0889418,#_Member_Council_Teaching_Hospital=2018,,,
f0889518,#_Hospital_with_American_Osteopathic_Assoc_Accreditation=2018,Osteopathic Medicine Physician Supply and Distribution,Hospital accreditation and pediatric cardiology services,
f0889618,#_Hospital_with_American_Osteopathic_Assoc_Accreditation=2018,,,
f0889718,#_Hospital_with_American_Osteopathic_Assoc_Internal=2018,Osteopathic Medicine Physician Supply and Distribution,Osteopathic physician hospital staff and other professional activity,
f0889818,#_Hospital_with_American_Osteopathic_Assoc_Internal=2018,,,
f0889918,#_Hospital_with_American_Osteopathic_Assoc_Residence=2018,Osteopathic Medicine Physician Supply and Distribution,"Hospital advanced imaging, personal income, population, and older specialty physicians (mixed)",
f0890018,#_Hospital_with_American_Osteopathic_Assoc_Residence=2018,,,
f0890518,#_Hospital_with_Medicare_Certification=2018,Hospital Services and Facility Types,Hospital services and community programs (counts and distribution),
f0890618,#_Hospital_with_Medicare_Certification=2018,,,
f0890918,Hospital_Admissions=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0891018,Short_Term_General_Hospital_Admissions=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0891118,Short_Term_Non_General_Long_Term_Hospital_Admissions=2018,Hospital and Nursing Facility Capacity,State psychiatric and non-general hospital capacity,
f0891218,Short_Term_Community_Hospital_Admissions=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0892018,Veterans'_Hospital_Admissions=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0892118,Hospital_Beds=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0892218,Short_Term_General_Hospital_Beds=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0892318,Short_Term_Non_General_Hospital_Beds=2018,Hospital and Nursing Facility Capacity,State psychiatric and non-general hospital capacity,
f0892418,Long_Term_Hospital_Beds=2018,Hospital and Nursing Facility Capacity,"Long-term hospital beds, psychiatric inpatient days, and capacity",
f0892518,Short_Term_Community_Hospital_Beds=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0892918,Veterans'_Hospital_Beds=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0893018,Bassinets_Set_Up_&_Staffed=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0893118,Bassinets_Set_Up_&_Staffed=2018,,,
f0904718,Total_Inpatient_Beds_Set_Up=2018,Hospital and Nursing Facility Capacity,"General hospital operations, capacity, beds, and admissions",
f0907118,General_Medical_Medicine_Surgical_Adult_Bed_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0907718,General_Medical_Medicine_Surgical_Pediatric_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0908318,Obstetrics_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0910318,Other_Special_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0912718,Burn_Care_Beds_Set_Up=2018,Hospital Services and Facility Types,Mixed specialty other professional activity and research (multiple specialties),
f0913318,Cardiac_Intensive_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,Cardiac intensive care beds and hospital services,
f0913918,Medical_Medicine_Surgical_Intensive_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0914518,Neonatal_Intensive_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0915118,Neonatal_Intermediate_Care_Beds_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0916318,Pediatric_Intensive_Care_Bed_Set_Up=2018,Hospital Bed Capacity by Care Type,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0921518,Rehabilitation_Care_Bed_Set_Up=2018,Hospital Bed Capacity by Care Type,"General hospital operations, capacity, beds, and admissions",
f0930718,#_Full_Time_Equivalent_Total_Facility_Personnel=2018,Healthcare Facility Staffing and Personnel Levels,"General hospital operations, capacity, beds, and admissions",
f0930818,#_Full_Time_Equivalent_Total_Facility_Personnel=2018,,,
f0931118,#_Full_Time_Equivalent_Physicians_&_Dentists=2018,,,
f0931418,#_Full_Time_Equivalent_Other_Trainees=2018,Healthcare Facility Staffing and Personnel Levels,Hospital medical residents and full-time other trainees,
f0931518,#_Full_Time_Equivalent_Other_Trainees=2018,,,
f0931618,#_Full_Time_Equivalent_Registered_Nurse=2018,Nursing Home Staffing and Vacancy Levels,"General hospital operations, capacity, beds, and admissions",
f0931718,#_Full_Time_Equivalent_Registered_Nurse=2018,,,
f0931818,#_Full_Time_Equivalent_Registered_Nurse=2018,,,
f0931918,#_Full_Time_Equivalent_L.P.N.s_&_L.V.N.s=2018,Healthcare Facility Staffing and Personnel Levels,"General hospital operations, capacity, beds, and admissions",
f0932018,#_Full_Time_Equivalent_L.P.N.s_&_L.V.N.s=2018,,,
f0932318,#_Full_Time_Equivalent_All_Other_Personnel_Veteran_Hospital=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0932418,Total_Hospital_Personnel_Full_Time=2018,Healthcare Facility Staffing and Personnel Levels,"General hospital operations, capacity, beds, and admissions",
f0932518,Total_Hospital_Personnel_Full_Time=2018,,,
f0932618,Total_Hospital_Personnel_Partial_Time=2018,Healthcare Facility Staffing and Personnel Levels,"General hospital operations, capacity, beds, and admissions",
f0932718,Total_Hospital_Personnel_Partial_Time=2018,,,
f0941518,Nursing_Home_Personnel_Total_Full_Time=2018,Healthcare Facility Staffing and Personnel Levels,Hospital long-term care and nursing home admissions,
f0941618,Nursing_Home_Personnel_Total_Full_Time=2018,,,
f0941718,Nursing_Home_Personnel_Total_Partial_Time=2018,Healthcare Facility Staffing and Personnel Levels,Hospital long-term care and nursing home admissions,
f0941818,Nursing_Home_Personnel_Total_Partial_Time=2018,,,
f0953718,Distribution_Hospital_By_00_04_Services=2018,Hospital Service Distribution and Institutional Care,Hospital service and utilization distribution (small),
f0953818,Distribution_Hospital_By_00_04_Services=2018,,,
f0953918,Distribution_Hospital_By_05_14_Services=2018,Hospital Service Distribution and Institutional Care,Distribution Hospital By 05 14 Services,
f0954018,Distribution_Hospital_By_05_14_Services=2018,,,
f0954118,Distribution_Hospital_By_15_24_Services=2018,Hospital Service Distribution and Institutional Care,Hospital service distribution and ambulance services,
f0954218,Distribution_Hospital_By_15_24_Services=2018,,,
f0954318,Distribution_Hospital_By_25+_Services=2018,Hospital Service Distribution and Institutional Care,Hospital services and community programs (counts and distribution),
f0954418,Distribution_Hospital_By_25+_Services=2018,,,
f0954518,Inpatient_Days=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0954618,Inpatient_Days_in_State_General_Hospital=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0954718,Inpatient_Days_in_Short_Term_Non_General_Long_Term_Hospital=2018,Hospital and Long Term Care Utilization,"Long-term hospital beds, psychiatric inpatient days, and capacity",
f0954818,Inpatient_Days_in_Short_Term_Community=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0955218,Inpatient_Days_in_Veteran_Hospital=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0956618,Outpatient_Visits_in_State_General_Hospital=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0956718,Outpatient_Visits_in_State_Non_General_Hospital=2018,Hospital and Long Term Care Utilization,State psychiatric and non-general hospital capacity,
f0956818,Outpatient_Visits_in_Long_Term_Hospital=2018,Hospital and Long Term Care Utilization,Long-term general and surgical hospital capacity,
f0957118,Outpatient_Visits_in_Veteran_Hospital=2018,Veterans Hospital Infrastructure and Services,"Inactive MDs, psychiatry other professional activity, and VA hospital capacity",
f0957218,Emergency_Department_Visits=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0957418,Emergency_Department_Visits=2018,,,
f0957518,Outpatient_Visits_Other=2018,Hospital and Long Term Care Utilization,"General hospital operations, capacity, beds, and admissions",
f0957618,Outpatient_Visits_Other=2018,,,
f0957718,Total_Medicare_Inpatient_Days=2018,Medicare Beneficiary Coverage and Healthcare Utilization,"General hospital operations, capacity, beds, and admissions",
f0957818,Total_Medicare_Inpatient_Days=2018,,,
f0958018,Total_Medicaid_Inpatient_Days=2018,,,
f0958318,#_Surgical_Operations_Inpatient=2018,Hospital Services and Facility Types,"General hospital operations, capacity, beds, and admissions",
f0958418,#_Surgical_Operations_Inpatient=2018,,,
f0958618,#_Surgical_Operations_Outpatient=2018,,,
f0958718,#_Surgical_Operations_Total=2018,Surgical Specialist Workforce and Hospital Services,"General hospital operations, capacity, beds, and admissions",
f0958918,#_Surgical_Operations_Total=2018,,,
f0959218,#_Surgical_Operations_Total=2018,,,
f0959318,#_Facilities_Reporting_Expense=2018,Healthcare Provider Workforce and Facility Resources,Hospital services and community programs (counts and distribution),
f0959418,#_Facilities_Reporting_Expense=2018,,,
f0959518,#_Facilities_Reporting_Expense=2018,,,
f0959618,Total_Reporting_Facility_Expense_(1000's)=2018,Healthcare Provider Workforce and Facility Resources,"General hospital operations, capacity, beds, and admissions",
f0959718,Total_Reporting_Facility_Expense_(1000's)=2018,,,
f0959818,Total_Reporting_Facility_Expense_(1000's)=2018,,,
f0960718,#_Facility_Reporting_Payroll_Expense=2018,Healthcare Provider Workforce and Facility Resources,Hospital services and community programs (counts and distribution),
f0960818,#_Facility_Reporting_Payroll_Expense=2018,,,
f0960918,Total_Reporting_Payroll_Expense(1000's)=2018,Healthcare Provider Workforce and Facility Resources,"General hospital operations, capacity, beds, and admissions",
f0961018,Total_Reporting_Payroll_Expense(1000's)=2018,,,
f0961918,Total_Births_In_Hospitals=2018,Births Deaths and Infant Mortality Rates,"General hospital operations, capacity, beds, and admissions",
f0962318,#_Full_Time_Equivalent_Total_Nursing_Home_Personnel=2018,Healthcare Facility Staffing and Personnel Levels,Hospital long-term care and nursing home admissions,
f0962418,#_Full_Time_Equivalent_Total_Nursing_Home_Personnel=2018,,,
f0970618,Total_Medicaid_Inpatient_Days=2018,Medicare Beneficiary Coverage and Healthcare Utilization,"General hospital operations, capacity, beds, and admissions",
f0970718,#_Surgical_Operations_Outpatient=2018,Hospital Services and Facility Types,"General hospital operations, capacity, beds, and admissions",
f0972110,Land_Area_in_Square_Miles=2010,Population Density and Geographic Area Characteristics,"Alaska Native Athabascan population, federally qualified health centers, and county land area",
f0972610,Husband_Wife_Families=2010,Household Structure and Family Composition,"General sociodemographic metrics: housing, population, income, Medicare, and urban/rural",
f0977818,Personal_Income_(by_Resident)_(1000's)=2018,Household Income Distribution by Race,"Hospital advanced imaging, personal income, population, and older specialty physicians (mixed)",
f0978118,Per_Capita_Personal_Income=2018,Household Income Distribution by Race,"Socioeconomic status: poverty, income, labor force, education, and health insurance","High household income, home values, and rent"
f0978720,Health_Professions_Shortage_Area_Code_Primary_Care_05_20=2020,Health Professional Shortage Area Designations,"Health professions shortage area codes (mental health, primary care, dental)",
f0979220,Health_Professions_Shortage_Area_Code_Dentists_05_20=2020,Health Professional Shortage Area Designations,"Mixed: Medicaid/marketplace enrollment, mortality outcomes, birth outcomes, and veteran benefits",
f0981118,Radiology_Total=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0981318,Radiology_Patient_Care_Office_Based=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0981518,Radiology_Patient_Care_Hospital_Full_Time_Staff=2018,Radiology Healthcare Provider Workforce Availability,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0981618,Nuclear_Medical_Medicine_Total=2018,Nuclear Medicine Physician Workforce Distribution,Nuclear medicine total and office-based workforce,
f0981818,Nuclear_Medical_Medicine_Patient_Care_Office_Based=2018,Nuclear Medicine Physician Workforce Distribution,Nuclear medicine total and office-based workforce,
f0982018,Nuclear_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,Nuclear Medicine Physician Workforce Distribution,Nuclear medicine total and office-based workforce,
f0982118,Other_Specialty_Total=2018,Healthcare Specialists in Other Medical Fields,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0982318,Other_Specialty_Patient_Care_Office_Based=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0982518,Other_Specialty_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,Other specialty older physicians and hospital staff,
f0982618,Emergency_Medical_Medicine_Total=2018,Emergency Medicine Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0982818,Emergency_Medical_Medicine_Patient_Care_Office_Based=2018,Emergency Medicine Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0983018,Emergency_Medical_Medicine_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f0994718,Medical_Doctors_General_Practice_Total=2018,General Practice Medical Doctor Workforce,General practice physicians total and office-based,
f0994918,Medical_Doctors_General_Practice_Patient_Care_Office_Based=2018,General Practice Medical Doctor Workforce,General practice physicians total and office-based,
f0995018,Medical_Doctors_General_Practice_Patient_Care_Hospital_Resident=2018,Hospital Medical Staff Patient Care,Medical Doctors General Practice Patient Care Hospital Resident,
f0995118,Medical_Doctors_General_Practice_Patient_Care_Hospital_Full_Time_Staff=2018,Hospital Medical Staff Patient Care,General practice and advanced practice nurse physician assistants,
f0995218,Medical_Doctors_General_Practice_Administration=2018,General Practice Medical Doctor Workforce,Medical Doctors General Practice Administration,
f0995318,Medical_Doctors_General_Practice_Teaching=2018,General Practice Medical Doctor Workforce,Anesthesiology administration and general practice teaching physicians,
f0995518,Medical_Doctors_General_Practice_Other=2018,General Practice Medical Doctor Workforce,Medical Doctors General Practice Other,
f0997718,Cardiovas_Disease_Administration=2018,Cardiovascular Disease Prevalence and Care Services,Cardiovascular disease administration and child psychiatry older,
f0997818,Cardiovas_Disease_Teaching=2018,Cardiovascular Disease Prevalence and Care Services,"Cardiovascular, gastroenterology, and OB/GYN teaching",
f0998018,Cardiovas_Disease_Other=2018,Cardiovascular Disease Prevalence and Care Services,Cardiovas Disease Other,
f0998318,Dermatology_Administration=2018,Dermatology Physician Workforce by Age and Setting,Dermatology Administration,
f0998418,Dermatology_Teaching=2018,Dermatology Physician Workforce by Age and Setting,Dermatology Teaching,
f0998618,Dermatology_Other=2018,Dermatology Physician Workforce by Age and Setting,Dermatology and transplant surgery older physicians,
f0998918,Gastroenterology_Administration=2018,Gastroenterology Physician Workforce by Age and Setting,"Allergy, gastroenterology, and pulmonary disease administration",
f0999018,Gastroenterology_Teaching=2018,Gastroenterology Physician Workforce by Age and Setting,"Cardiovascular, gastroenterology, and OB/GYN teaching",
f0999218,Gastroenterology_Other=2018,Gastroenterology Physician Workforce by Age and Setting,Gastroenterology Other,
f1001318,Pediatric_Cardiolgy_Administration=2018,Pediatric Cardiology Physician Workforce Distribution,Pediatric cardiology administration and older physicians,
f1001418,Pediatric_Cardiolgy_Teaching=2018,Pediatric Cardiology Physician Workforce Distribution,"Preventive medicine, family medicine, and occupational medicine administration and teaching",
f1001618,Pediatric_Cardiolgy_Other=2018,Pediatric Cardiology Physician Workforce Distribution,Pediatric cardiology other activity and public health hospital residents,
f1001918,Pulmonary_Disease_Administration=2018,Pulmonary Disease Healthcare Resources and Demographics,"Allergy, gastroenterology, and pulmonary disease administration",
f1002018,Pulmonary_Disease_Teaching=2018,Pulmonary Disease Healthcare Resources and Demographics,"Allergy, pulmonary, and other specialty older physicians",
f1002218,Pulmonary_Disease_Other=2018,Pulmonary Disease Healthcare Resources and Demographics,"Emergency, occupational, and pulmonary medicine other activity",
f1002718,General_Surgical_Administration=2018,Surgical Specialist Workforce and Hospital Services,General and OB/GYN surgical administration,
f1002818,General_Surgical_Teaching=2018,Surgical Specialist Workforce and Hospital Services,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
f1003018,General_Surgical_Other=2018,Surgical Specialist Workforce and Hospital Services,General surgical and psychiatric other professional activity,
f1003318,Neurolgcal_Surgical_Administration=2018,Neurology and Neurological Surgery Workforce,Neurological surgery and vascular medicine administration,
f1003418,Neurolgcal_Surgical_Teaching=2018,Surgical Specialist Workforce and Hospital Services,Mixed specialty other professional activity and research (multiple specialties),
f1003618,Neurolgcal_Surgical_Other=2018,Neurology and Neurological Surgery Workforce,Neurolgcal Surgical Other,
f1004518,Ophthalmolgy_Administration=2018,Ophthalmology Physician Workforce by Age and Setting,Ophthalmolgy Administration,
f1004618,Ophthalmolgy_Teaching=2018,Ophthalmology Physician Workforce by Age and Setting,"Rare specialty physician research, teaching, and administration",
f1004818,Ophthalmolgy_Other=2018,Ophthalmology Physician Workforce by Age and Setting,General surgical and transplant other professional activity,
f1005118,Orthopedic_Surgical_Administration=2018,Orthopedic Surgery Physician Workforce Demographics,Mixed: American Indian Ottawa population and surgical other activity,
f1005218,Orthopedic_Surgical_Teaching=2018,Orthopedic Surgery Physician Workforce Demographics,"Medical specialist and advanced practice workforce by specialty, age, and role (broad)",
